folderCode,proposedCategory,proposedSubcategory,proposedSubmenuFamily,confidence,status,evidence,notes
Blnu,Line Blanks,,Figure-8/Paddle/RTJ variants,high,proposed,"Blnu1..4 set files; user-confirmed Figure-8 uses Blnu1***","Ready to lock"
Comp,ASME Composite,,Composite layout,high,proposed,"Comp1.set + comp1.dxf only","Ready to lock"
Flan,Flange,Flange ASME B16.5 Flanges,"Weldneck/Slip-on/Blind/Threaded/Socket/Lapped/Long WN",high,proposed,"Mapped in flanges-config.js; Flan1..7 assets","Ready to lock"
Flaa,Flange,Flange ASME B16.47 Series A Flanges,"Series A weldneck/blind",high,proposed,"Mapped in flanges-config.js; Flaa*.set/csv","Ready to lock"
Flap,Flange,Flange ASME B16.47 Series B Flanges,"Series B weldneck/blind",high,proposed,"Mapped in flanges-config.js; Flap*.set/csv","Ready to lock"
Orif,Flange,Flange ASME Orifice Flanges,"Weldneck/Slip-on/Threaded orifice",high,proposed,"Mapped in flanges-config.js","Ready to lock"
Fl6b,Flange,Flange API Type 6B Flanges,"API 6B weldneck/threaded",high,proposed,"Mapped in flanges-config.js; FL6B*_Imperial.csv","Ready to lock"
Flbx,Flange,Flange API Type 6BX Flanges,"API BX weldneck/blind-test",high,proposed,"Mapped in flanges-config.js","Ready to lock"
Flre,Flange,Flange ASME Reducing Flanges,"Threaded/Slip-on reducing",high,proposed,"Mapped in flanges-config.js","Ready to lock"
Flco,Flange,Flange ASME Compact Flanges,"Compact/Swivel/Blind compact",high,proposed,"Mapped in flanges-config.js","Ready to lock"
Flhb,Flange,Flange Hub and Clamp,"Hub and clamp connector",high,proposed,"Mapped in flanges-config.js","Ready to lock"
Flom,Flange,Flange EN 1092-1 Flanges,"Plate/Blind/Weldneck/Slip-on/Threaded",high,proposed,"Mapped in flanges-config.js (folder Flom)","Contains ForApps helper subdir"
Flbs,Flange,Flange BS 10 Flanges,"Table-based flange",high,proposed,"Mapped in flanges-config.js","Ready to lock"
Ftbw,Fittings,Buttwelded Fittings,"Elbows/Returns/Tee/Cross/Cap/Reducers/Stub-end",high,proposed,"Loaded by pipedata-fittings.js from Ftbw","Ready to lock"
Ftsc,Fittings,Threaded Fittings,"Threaded fitting family",high,proposed,"Loaded by pipedata-fittings.js from Ftsc","Ready to lock"
Ftsw,Fittings,Socketwelded Fittings,"Socketweld fitting family",high,proposed,"Loaded by pipedata-fittings.js from Ftsw","Ready to lock"
Fswa,Fittings,Swage and Pipe Nipples,"Concentric/Eccentric swage + pipe nipple",medium,proposed,"Folder name Fswa; Metric/USCust CSVs; aligns with tree leaf","Cross-check in app before lock"
Gflt,Gaskets,Nonmetallic Flat Gaskets,"B16.5/B16.47A/B families",high,proposed,"Folder code implies gasket-flat; set/csv/dxf/png pattern","Ready to lock"
Gspr,Gaskets,Spiral-Wound Gaskets,"B16.5/B16.47A/B families",high,proposed,"Folder code implies gasket-spiral","Ready to lock"
Grtj,Gaskets,Ring-Joint Gaskets,"Type R/RX/BX",high,proposed,"Folder code includes RTJ; set/csv/dxf/png pattern","Ready to lock"
Vlfl,Valves,Flanged Valves,"Gate/Globe/Ball/Control/Checks/Butterflies",high,proposed,"Folder code vlfl; dense valve csv dataset","Ready to lock"
Vlbw,Valves,Buttwelded Valves,"Gate/Globe/Ball/Swing-check",high,proposed,"Folder code vlbw; set/dxf/png","Ready to lock"
Vlsc,Valves,Threaded Valves,"Gate/Globe/Ball/Horizontal+Vertical check",medium,proposed,"Folder code likely screw/threaded (sc)","Validate against in-app labels"
Vlsw,Valves,Socketwelded Valves,"Gate/Globe/Ball/Horizontal+Vertical check",high,proposed,"Folder code vlsw (socket weld)","Ready to lock"
Pipe,Pipe,Pipe by Schedule,"Pipe schedules",high,proposed,"Loaded by pipedata-pipe.js from Database/Pipe","Ready to lock"
Pwal,Pipe,Pipe by Wall Thickness,"Wall-thickness mode",medium,proposed,"Folder code pwal + Carbon/Stainless CSVs","Validate in app"
Nuts,Nuts,"UNC Nuts / ISO Nuts","Nut size tables",high,proposed,"Dedicated Nuts folder with 3 set files","Ready to lock"
Srra,Strainers,Y Type Strainer,"Flanged/Buttwelded/Threaded/Socketwelded",medium,proposed,"4 set nodes in Srra; aligns with 4-way Y-type submenu","Confirm by opening each Srra*.set in app"
Srrb,Strainers,Basket Type Strainer,"Single/Duplex + possible variants",low,needs_ui_check,"4 set nodes in Srrb but tree expects 2 basket items","Likely mixed/legacy entries"
Srrc,Strainers,Witch Hat Type Strainer,"Leaf category",low,needs_ui_check,"Single set node","Need UI confirmation"
Srrd,Strainers,Top Hat Type Strainer,"Leaf category",low,needs_ui_check,"Single set node","Need UI confirmation"
Srre,Strainers,Bath Tub Type Strainer,"Leaf category",low,needs_ui_check,"Single set node","Need UI confirmation"
Psiz,Spacing,Pipe Spacing,"Size-size spacing mode",medium,proposed,"Folder code psiz + combo set files","Likely spacing no insulation"
Piwt,Spacing,Pipe Spacing With Insulation,"Insulated spacing mode",medium,proposed,"Piwt has pipe tables + wall converter text","Need UI cross-check"
Fldi,Spacing,Flanged Pipe Spacing,"Flanged spacing by class",medium,proposed,"Fldi has class-like CSVs (2.5..400) + multiple sets","Likely flanged spacing"
Gensets,Spacing,Flanged Pipe Spacing With Insulation,"Insulated flanged spacing",low,needs_ui_check,"Name not explicit; png/html/txt heavy helper set","Could be utility assets instead"
Span,Safe Spans,"Rack Spans / Process Area Spans","Span calculators",medium,proposed,"Span1/Span2 set + dxf","Map each set to rack/process via UI"
Fxly,Pipe Flexibility,"Pipe Loop / Distance to First Guide","Flexibility calculators",medium,proposed,"Fxly1/Fxly2 set + dxf","Map set1 vs set2 via UI"
Ptem,Pressure-Temperature Ratings,,Material/class/temperature curves,high,proposed,"Group1.1/2.1/3.1 csv naming + ptem dxf","Ready to lock"
Wbol,Welded Branches,,Olets/flange-branch family,medium,proposed,"Weldoflange/Elboflange/Latroflange/Nipoflange csv + Wbol1..13 set","Likely majority of welded-branches submenu"
Wbpi,Welded Branches,,Pipet/threaded/socket branch variants,low,needs_ui_check,"Wbpi1..12 set + Threaded/Socketwelded Pipet csvs","May overlap with Fswa or legacy branch data"
Gpas,Unknown/Legacy,,,low,needs_ui_check,"Standalone folder with set/dxf/png not yet tied to current tree","Investigate in-app presence"
